src_path	dest_path	sha256_before	sha256_after	bytes_after
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/apn.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/apn.tsv	9521aa104b0ed6fcc339a995a7871f8a39b44e4ac7f56842df8bfcbb68e7f457	864859f542cab0713ec7028170baa8e39fcd4f768f91bbb2ec501185178e55e2	26856227
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/validation.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/validation.tsv	1669ecf48f8ef5ead15ad382adce34a8c036e7f9e4ac556dc9b58630765c77f4	203d389bfe4a9d9bcedac4186108719fcf5c14c8836b6775040e18ebb71534ab	16464314
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/pco_activation.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/pco_activation.tsv	a279e202bd90616b5bed0b2563070b1e06bd22e49cb42c68f6aa0ad2d6c4099a	fb3648d5b2b1cb338bcf2c6b9e518168133aca49b70a91bb2805917c5b3eae59	532882
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/ims.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/ims.tsv	f874eb885801bea2604bbc4729e1e296baa69f8335c65beae3e5089fcf56bfe4	5a3c1ada9a46e6a1f3cf88df9b38a9f74dbb021a31c5abde71dc2b9c75182499	43238412
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/instability.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/instability.tsv	6b9e959afcf3c79db060f9fe04333f3bb77867dcc99426433a11dab5b648a64b	638266f44f996c5a5c4b909543c3e30943300e22dd88913566caf97d4230190b	15883188
/data/data/com.termux/files/home/vz_reextract_20260321_132627/signals/qos_rf.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/qos_rf.tsv	bba5c81d90fa44dd38c4a98b0145ef8ca1ea1b4c97e79fff1bfbc30e9f79c40e	108846ef320517d3065c06ca59f86d4e3bbebf079c53b2b5649575348930ab43	823164
/data/data/com.termux/files/home/vz_reextract_20260321_132627/all_hits.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/all_hits.tsv	603c3290b647fffb26744be1cc8e23fb42b9e012b17c535adb1adde9e2c013f5	51a8928fef4abe22315def6af06d8f0bf735c2a74ef0a22c47ff03e3a1686f1d	75545359
/data/data/com.termux/files/home/vz_reextract_20260321_132627/run.stdout.txt	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/run.stdout.txt	78ebcdd10fc6f1bb1e452fe31af556021aa6585e3aa4aaf8ee7085c403d1bf00	3898428c86ebe00d4060005f3a0ccc0d0c0b0eadba31b979be74970cbe2772ac	352
/data/data/com.termux/files/home/vz_reextract_20260321_132627/file_list.txt	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/file_list.txt	685ccafd520b6311d7c50af1dab63bde750f85f2e2d23ffb7f8530ddf2e1ecea	35ae3116777d1a1f193dec145e9c3d411dcc7b8d346093ed48530a10e46d0ef9	1210
/data/data/com.termux/files/home/vz_reextract_20260321_132627/LOCAL_EVIDENCE_REEXTRACT_SUMMARY.md	/storage/emulated/0/Verizon_Public_Case/docs/daily_ingest/2026-03-21/LOCAL_EVIDENCE_REEXTRACT_SUMMARY.md	02aa9a51837ddadfcd111fad6d5a580ec41516cbd6bd27388e72b63c729a288c	1fa170f3551330a1f0a62d5346e7b2c7053537b971a2dbbc0b38ea5b52c04680	185185
/data/data/com.termux/files/home/vz_reextract_20260321_132627/README.txt	/storage/emulated/0/Verizon_Public_Case/docs/daily_ingest/2026-03-21/README.txt	6a371c6c29b3e4a88136ee6a6c729048bc15c3c7ef1f515facfff41314ff7074	72edc1101b5f63686c7e7b77fe3b97e21b6ac5d7dd87ba4944bb688fafbd470f	256
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/01_apn_top.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/01_apn_top.tsv	9c2712321b64df65d078764933c12e934433a202f34b8ed4752acfdfbe754b67	03c36ca83fe8b7bc398d6732954157b6140b8dd31656b1b50c73d53ae0b7a491	162536
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/02_validation_top.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/02_validation_top.tsv	277f6b98873e43ee9f1c1f06aa61678ead0a1d84806aa484a78d4eb73cb43427	5bcf7b599e1ae13fe61a149f03f34ddfc5b992e12731b4fd9c26b4abd7f69e7d	347551
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/03_pco_top.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/03_pco_top.tsv	00d5a4ba1c2f1eae2f296f5f2facf5d1ffbb65473089fc50c3db8993a6848b21	f27c9fa6e392d745b53a9f670fe9fbacc4322cf23a6c4f133f997e633ad5b54c	82993
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/04_instability_top.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/04_instability_top.tsv	b9301e2bd62f98a7e6645b92ccf7abbcc20f223b0531ca524c6f0d7251f42c8d	26aee4a60c98aabb1910c65fd946913896d108fd0fc7036e344bed4852120b59	327247
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/05_qos_rf_top.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/05_qos_rf_top.tsv	f4cd600ba921b96d50c91befea533793d8af666d42c26f733caa836e0411c6ed	3952d8ae6f21113198ea9b1e6d2ae5ca6e00d24f56f93e0a471f0ec80559ed96	41029
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/06_multisignal_excerpt.tsv	/storage/emulated/0/Verizon_Public_Case/evidence/network_state/redacted/2026-03-21/06_multisignal_excerpt.tsv	097f3cec905c9160d13ac2234b69257d0591e231699e0fe9dcdf901dcd336ddd	dd40ccfb14e2225fb20f904fe94071a470df41a5fc89e0b8adf3f2005723c62c	1162107
/data/data/com.termux/files/home/vz_reextract_20260321_132627/curated_pack/CURATED_CORROBORATION_SUMMARY.md	/storage/emulated/0/Verizon_Public_Case/docs/daily_ingest/2026-03-21/CURATED_CORROBORATION_SUMMARY.md	532ade7d3252e5c574650ead3eaa9d82cfcb71cdb32a979fdff0d628de563983	3c628c514ead5f0bf66355b29d70e60dcbb255b5c989d1de70fed724eeb98a39	1053
